FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,UniqueID
UMMZ.117875.apia.ba.m.00000001,UMMZ,birds,117875,Aves,Coraciiformes,Meropidae,Merops,apiaster,,Male,adult,,,,,,,,,back,0,0,0,0,1,,1
UMMZ.117875.apia.ba.m.00000002,UMMZ,birds,117875,Aves,Coraciiformes,Meropidae,Merops,apiaster,,Male,adult,,,,,,,,,back,0,0,0,0,2,,2
UMMZ.117875.apia.ba.m.00000003,UMMZ,birds,117875,Aves,Coraciiformes,Meropidae,Merops,apiaster,,Male,adult,,,,,,,,,back,0,0,0,0,3,,3
UMMZ.117875.apia.ch.m.00000001,UMMZ,birds,117875,Aves,Coraciiformes,Meropidae,Merops,apiaster,,Male,adult,,,,,,,,,breast,0,0,0,0,1,,4
UMMZ.117875.apia.ch.m.00000002,UMMZ,birds,117875,Aves,Coraciiformes,Meropidae,Merops,apiaster,,Male,adult,,,,,,,,,breast,0,0,0,0,2,,5
UMMZ.117875.apia.ch.m.00000003,UMMZ,birds,117875,Aves,Coraciiformes,Meropidae,Merops,apiaster,,Male,adult,,,,,,,,,breast,0,0,0,0,3,,6
UMMZ.117875.apia.cn.m.00000001,UMMZ,birds,117875,Aves,Coraciiformes,Meropidae,Merops,apiaster,,Male,adult,,,,,,,,,throat,0,0,0,0,1,,7
UMMZ.117875.apia.cn.m.00000002,UMMZ,birds,117875,Aves,Coraciiformes,Meropidae,Merops,apiaster,,Male,adult,,,,,,,,,throat,0,0,0,0,2,,8
UMMZ.117875.apia.cn.m.00000003,UMMZ,birds,117875,Aves,Coraciiformes,Meropidae,Merops,apiaster,,Male,adult,,,,,,,,,throat,0,0,0,0,3,,9
UMMZ.117875.apia.cr.m.00000001,UMMZ,birds,117875,Aves,Coraciiformes,Meropidae,Merops,apiaster,,Male,adult,,,,,,,,,crown,0,0,0,0,1,,10
UMMZ.117875.apia.cr.m.00000002,UMMZ,birds,117875,Aves,Coraciiformes,Meropidae,Merops,apiaster,,Male,adult,,,,,,,,,crown,0,0,0,0,2,,11
